method;traces;pollution;param;p
dlla9;500;gauss;296;0.6699918845758095
dlla2;500;gauss;296;0.025051229866221547
cri_tvla_1;500;gauss;304;4.085203741942913e-05
cri_tvla_2;500;gauss;304;6.74377435997556e-05
dlla9;500;gauss;304;0.0641049115917765
dlla2;500;gauss;304;0.18854279373772442
cri_tvla_1;500;gauss;0;1.8145677703967012e-51
cri_tvla_2;500;gauss;0;1.4139354500862394e-31
dlla9;500;gauss;0;1.6825703551564825e-09
dlla2;500;gauss;0;9.650597348809242e-06
cri_tvla_1;500;gauss;8;8.568981658699601e-52
cri_tvla_2;500;gauss;8;2.4750788478346353e-31
dlla9;500;gauss;8;1.5951634319966427e-13
dlla2;500;gauss;8;5.653710104525089e-05
cri_tvla_1;500;gauss;16;4.453405034237317e-41
cri_tvla_2;500;gauss;16;1.3787281660259898e-18
dlla9;500;gauss;16;3.0291993138225724e-15
dlla2;500;gauss;16;9.650597348809242e-06
cri_tvla_1;500;gauss;24;8.110581536019423e-29
cri_tvla_2;500;gauss;24;2.643796516354667e-16
dlla9;500;gauss;24;3.677198847045869e-14
dlla2;500;gauss;24;0.0035001833457499743
cri_tvla_1;500;gauss;32;2.6598899628908937e-24
cri_tvla_2;500;gauss;32;4.5948426910494746e-12
dlla9;500;gauss;32;2.3316295783791887e-12
dlla2;500;gauss;32;0.0002675263676792383
cri_tvla_1;500;gauss;40;4.172401010914069e-21
cri_tvla_2;500;gauss;40;3.22636012367631e-08
dlla9;500;gauss;40;1.0641699508720502e-10
dlla2;500;gauss;40;1.2316741049289703e-07
cri_tvla_1;500;gauss;48;3.40811435900577e-17
cri_tvla_2;500;gauss;48;8.74718702264866e-07
dlla9;500;gauss;48;1.4682776005414916e-11
dlla2;500;gauss;48;9.650597348809242e-06
cri_tvla_1;500;gauss;56;6.95276647902273e-13
cri_tvla_2;500;gauss;56;2.126111636484549e-05
dlla9;500;gauss;56;1.2277943375337376e-11
dlla2;500;gauss;56;9.650597348809242e-06
cri_tvla_1;500;gauss;64;7.713954373706896e-12
cri_tvla_2;500;gauss;64;3.7822784825439797e-06
dlla9;500;gauss;64;1.7727204421768645e-10
dlla2;500;gauss;64;9.650597348809242e-06
