method;traces;pollution;param;p
cri_tvla_1;300000;gauss;8;0.005560023466588632
cri_tvla_2;300000;gauss;8;3.4840174923344437e-06
dlla9;300000;gauss;8;0.1263796393620462
dlla2;300000;gauss;8;4.6509045048536103e-07
cri_tvla_1;300000;gauss;9;0.0013750700465847867
cri_tvla_2;300000;gauss;9;2.1070814713578275e-05
dlla9;300000;gauss;9;0.0536525708276468
dlla2;300000;gauss;9;1.043687196972564e-12
cri_tvla_1;300000;gauss;10;0.0019447410357307277
cri_tvla_2;300000;gauss;10;3.152758470048688e-07
dlla9;300000;gauss;10;0.6782607027562297
dlla2;300000;gauss;10;9.88024236076938e-06
cri_tvla_1;300000;gauss;11;0.012636696490062663
cri_tvla_2;300000;gauss;11;1.7432349347512885e-05
dlla9;300000;gauss;11;0.32184498894715824
dlla2;300000;gauss;11;0.00041912538348630067
cri_tvla_1;300000;gauss;12;0.00611699472519067
cri_tvla_2;300000;gauss;12;0.0001418324285660263
dlla9;300000;gauss;12;0.9794241788261199
dlla2;300000;gauss;12;0.037435742789190214
cri_tvla_1;300000;gauss;13;0.0103694101219935
cri_tvla_2;300000;gauss;13;0.003411297835609512
dlla9;300000;gauss;13;0.8641802417574096
dlla2;300000;gauss;13;0.20291609960556117
cri_tvla_1;300000;gauss;14;0.00635067128882711
cri_tvla_2;300000;gauss;14;0.0002670851813788346
dlla9;300000;gauss;14;0.20635372086450704
dlla2;300000;gauss;14;0.009696433597316556
cri_tvla_1;300000;gauss;15;0.007554396513960584
cri_tvla_2;300000;gauss;15;0.001043651806111079
dlla9;300000;gauss;15;0.5547049329494955
dlla2;300000;gauss;15;0.0037714232730133718
cri_tvla_1;300000;gauss;16;0.002863095345755273
cri_tvla_2;300000;gauss;16;0.0011583491217881242
dlla9;300000;gauss;16;0.9881638743635626
dlla2;300000;gauss;16;0.6957128502118987
cri_tvla_1;300000;gauss;17;0.005200709038830682
cri_tvla_2;300000;gauss;17;0.0016404963719424141
dlla9;300000;gauss;17;0.7044259908045913
dlla2;300000;gauss;17;0.12196195944613891
cri_tvla_1;300000;gauss;18;0.0002755747407230997
cri_tvla_2;300000;gauss;18;0.0005240081194961612
dlla9;300000;gauss;18;0.3730289082065885
dlla2;300000;gauss;18;0.611040275254807
cri_tvla_1;300000;gauss;19;0.00028161517972134206
cri_tvla_2;300000;gauss;19;0.0006968129718166048
dlla9;300000;gauss;19;0.3865388751645191
dlla2;300000;gauss;19;0.5909845095846641
cri_tvla_1;300000;gauss;20;0.004720965542167
cri_tvla_2;300000;gauss;20;0.003951055702821212
dlla9;300000;gauss;20;0.3855285940306896
dlla2;300000;gauss;20;0.08486878969759126
cri_tvla_1;300000;gauss;21;0.002800065625370471
cri_tvla_2;300000;gauss;21;0.0077037476577852025
dlla9;300000;gauss;21;0.8488941004728472
dlla2;300000;gauss;21;0.32270196006553176
cri_tvla_1;300000;gauss;22;0.0034272189861891864
cri_tvla_2;300000;gauss;22;0.001210007979251211
dlla9;300000;gauss;22;0.9189026439718893
dlla2;300000;gauss;22;0.22451546649460552
cri_tvla_1;300000;gauss;23;0.005698945436176161
cri_tvla_2;300000;gauss;23;0.005885787621810476
dlla9;300000;gauss;23;0.15783089613547244
dlla2;300000;gauss;23;0.35528378973484054
cri_tvla_1;300000;gauss;24;0.009375897592781336
cri_tvla_2;300000;gauss;24;0.0030503773592137776
dlla9;300000;gauss;24;0.8625677492725744
dlla2;300000;gauss;24;0.6053376470992877
cri_tvla_1;300000;gauss;25;0.005381912309453282
cri_tvla_2;300000;gauss;25;0.01029927453647257
dlla9;300000;gauss;25;0.26186233928083696
dlla2;300000;gauss;25;0.2991129865152712
cri_tvla_1;300000;gauss;0;0.021566673335997547
cri_tvla_2;300000;gauss;0;3.677572541768033e-39
dlla9;300000;gauss;0;0.0
dlla2;300000;gauss;0;0.0
cri_tvla_1;300000;gauss;1;0.003766298431819127
cri_tvla_2;300000;gauss;1;2.947576829615721e-19
dlla9;300000;gauss;1;0.0
dlla2;300000;gauss;1;0.0
cri_tvla_1;300000;gauss;2;0.0006494436730636388
cri_tvla_2;300000;gauss;2;2.0542506538307623e-12
dlla9;300000;gauss;2;1.8289821219494407e-288
dlla2;300000;gauss;2;2.5707837287369686e-166
cri_tvla_1;300000;gauss;3;0.007419385532024758
cri_tvla_2;300000;gauss;3;2.5633057595029873e-24
dlla9;300000;gauss;3;1.3805002472601949e-176
dlla2;300000;gauss;3;3.1444402698474825e-147
cri_tvla_1;300000;gauss;4;0.00023676172870128585
cri_tvla_2;300000;gauss;4;1.1398823980959319e-14
dlla9;300000;gauss;4;2.346977831341276e-113
dlla2;300000;gauss;4;2.333960381560189e-78
cri_tvla_1;300000;gauss;5;0.000990437120257182
cri_tvla_2;300000;gauss;5;3.613979406865574e-14
dlla9;300000;gauss;5;1.5046494529463206e-72
dlla2;300000;gauss;5;7.675435790682144e-52
cri_tvla_1;300000;gauss;6;0.002370632824170709
cri_tvla_2;300000;gauss;6;4.073859658699634e-13
dlla9;300000;gauss;6;1.0585426034933437e-29
dlla2;300000;gauss;6;4.6579994806085943e-32
cri_tvla_1;300000;gauss;7;0.005855865516861072
cri_tvla_2;300000;gauss;7;1.2636817301576042e-05
dlla9;300000;gauss;7;8.448255470287372e-21
dlla2;300000;gauss;7;2.2264205787823183e-29
cri_tvla_1;300000;gauss;8;0.0029894361503851334
cri_tvla_2;300000;gauss;8;2.4148865179442995e-06
dlla9;300000;gauss;8;3.0818632425361103e-15
dlla2;300000;gauss;8;2.867385284819631e-13
cri_tvla_1;300000;gauss;9;0.004752636191055292
cri_tvla_2;300000;gauss;9;3.3480773135578885e-05
dlla9;300000;gauss;9;0.8132453517103744
dlla2;300000;gauss;9;1.7522216798374444e-13
cri_tvla_1;300000;gauss;10;0.008412673099843553
cri_tvla_2;300000;gauss;10;4.9818838954243025e-08
dlla9;300000;gauss;10;0.17841199519723905
dlla2;300000;gauss;10;0.041218343066754044
cri_tvla_1;300000;gauss;11;0.0017755730166004286
cri_tvla_2;300000;gauss;11;0.0013272080679986346
dlla9;300000;gauss;11;0.08187525329589568
dlla2;300000;gauss;11;0.12652567438969714
cri_tvla_1;300000;gauss;12;0.004839725974932171
cri_tvla_2;300000;gauss;12;0.001493166570170852
dlla9;300000;gauss;12;0.5188221189390159
dlla2;300000;gauss;12;0.05867239571491812
cri_tvla_1;300000;gauss;13;0.005756016772267956
cri_tvla_2;300000;gauss;13;0.003957681028197173
dlla9;300000;gauss;13;0.2291263024218397
dlla2;300000;gauss;13;0.03072015794722155
cri_tvla_1;300000;gauss;14;0.009708004315443556
cri_tvla_2;300000;gauss;14;0.002322726855257815
dlla9;300000;gauss;14;0.2975936260802166
dlla2;300000;gauss;14;0.17485378043819527
cri_tvla_1;300000;gauss;15;0.0027073084127418696
cri_tvla_2;300000;gauss;15;0.0006339911606207636
dlla9;300000;gauss;15;0.6991526787552517
dlla2;300000;gauss;15;0.004397480183816419
cri_tvla_1;300000;gauss;16;0.0069639200577427006
cri_tvla_2;300000;gauss;16;0.001067532205731597
dlla9;300000;gauss;16;0.8839135700404097
dlla2;300000;gauss;16;0.9359309226086516
cri_tvla_1;300000;gauss;17;0.005246974999653158
cri_tvla_2;300000;gauss;17;0.005329614446958109
dlla9;300000;gauss;17;0.681878712089415
dlla2;300000;gauss;17;0.36639882650095845
cri_tvla_1;300000;gauss;18;0.00532962900804969
cri_tvla_2;300000;gauss;18;0.0064377494379812324
dlla9;300000;gauss;18;0.4746635770214931
dlla2;300000;gauss;18;0.4763267016912669
cri_tvla_1;300000;gauss;19;0.00019703000117857365
cri_tvla_2;300000;gauss;19;0.0020367403482635586
dlla9;300000;gauss;19;0.9200989459807825
dlla2;300000;gauss;19;0.08838265896166675
cri_tvla_1;300000;gauss;20;0.006376976155432303
cri_tvla_2;300000;gauss;20;0.001792292861985402
dlla9;300000;gauss;20;0.8010374085253819
dlla2;300000;gauss;20;0.3776270842947986
cri_tvla_1;300000;gauss;21;0.008550332409074561
cri_tvla_2;300000;gauss;21;0.000526744689303263
dlla9;300000;gauss;21;0.9132129190313993
dlla2;300000;gauss;21;0.37480988399869497
cri_tvla_1;300000;gauss;22;0.0018420735204586008
cri_tvla_2;300000;gauss;22;0.0018761455213560222
dlla9;300000;gauss;22;0.9087065836833816
dlla2;300000;gauss;22;0.23807750477506756
cri_tvla_1;300000;gauss;23;0.004228552792392374
cri_tvla_2;300000;gauss;23;0.0012051087781477497
