method;p
tvla_t_1;0.03379501085189544
tvla_t_2;0.01590698364809799
tvla_t_3;0.11441569124190236
tvla_rho;0.012789497728835197
dlla_open;0.6632526840718851
dlla_wegener;0.9547184522469276
tvla_t_1;0.04807417390160968
tvla_t_2;0.027087902876427008
tvla_t_3;0.20454923627808977
tvla_rho;0.030250130660292474
dlla_open;0.02742868489850029
dlla_wegener;0.7396754875332409
tvla_t_1;0.04750945167823825
tvla_t_2;0.039915236139287956
tvla_t_3;0.18481193166692786
tvla_rho;0.019189351571822444
dlla_open;0.10767654566285158
dlla_wegener;0.66400006449519
tvla_t_1;0.019438339060106107
tvla_t_2;0.034845769653813655
tvla_t_3;0.17583272455101934
tvla_rho;0.06050602551877482
dlla_open;0.08617079016173067
dlla_wegener;0.5207587290260073
tvla_t_1;0.05301030500125422
tvla_t_2;0.03468326615963185
tvla_t_3;0.13530431198495466
tvla_rho;0.04654117319379192
dlla_open;0.5855256106530715
dlla_wegener;0.4793527778807872
tvla_t_1;0.009044465198526783
tvla_t_2;0.06315224716438193
tvla_t_3;0.10761613224841454
tvla_rho;0.01446357479327598
dlla_open;0.49335851789158913
dlla_wegener;0.37306983617972717
tvla_t_1;0.036651320687166825
tvla_t_2;0.023076016356393083
tvla_t_3;0.21841811153005478
tvla_rho;0.03693755276002575
dlla_open;0.3228174587960091
dlla_wegener;0.09289436081067981
tvla_t_1;0.030519531806377277
tvla_t_2;0.06121997765676482
tvla_t_3;0.20793068659491437
tvla_rho;0.01708839419308883
dlla_open;0.19661124672401464
dlla_wegener;0.5
tvla_t_1;0.03799986428845761
tvla_t_2;0.024359181550974402
tvla_t_3;0.18039212828464316
tvla_rho;0.046058957564800274
dlla_open;0.6498313807193505
dlla_wegener;0.3953612800902946
tvla_t_1;0.03558516156054369
tvla_t_2;0.014999549017238963
tvla_t_3;0.19811846265639033
tvla_rho;0.02907704689543844
dlla_open;0.29367099366952715
dlla_wegener;0.8014494270868745
tvla_t_1;0.026329249228188314
tvla_t_2;0.009435643220749046
tvla_t_3;0.09790747131840773
tvla_rho;0.025880624857224088
dlla_open;0.22917745183630603
dlla_wegener;0.2133072135246199
tvla_t_1;0.01538219377293426
tvla_t_2;0.017525894428419862
tvla_t_3;0.17454598886202163
tvla_rho;0.03843370229760823
dlla_open;0.7843507756124277
dlla_wegener;0.8889026958879145
tvla_t_1;0.03853033124046725
tvla_t_2;0.0583345442050986
tvla_t_3;0.13747343081929891
tvla_rho;0.052906325186591996
dlla_open;0.758514489849421
dlla_wegener;0.06779650063315111
tvla_t_1;0.03196720471706207
tvla_t_2;0.009228667840845256
tvla_t_3;0.18270303244589667
tvla_rho;0.027705543718796966
dlla_open;0.3640589241229628
dlla_wegener;0.022004978195124387
tvla_t_1;0.02675300127389418
tvla_t_2;0.033100893674451605
tvla_t_3;0.14233684441278488
tvla_rho;0.031386208983898545
dlla_open;0.3922775831081605
dlla_wegener;0.12296174315081931
tvla_t_1;0.0336672669732369
tvla_t_2;0.052485182938594
tvla_t_3;0.18579122064545964
tvla_rho;0.00903347735360982
dlla_open;0.5464583926721966
dlla_wegener;0.2634010428096742
tvla_t_1;0.009668788326364943
tvla_t_2;0.03414599180049533
tvla_t_3;0.11815007979703948
tvla_rho;0.03479438591485273
dlla_open;0.07893053516054499
dlla_wegener;0.0999320898678554
tvla_t_1;0.012051943876513751
tvla_t_2;0.025973948249963377
tvla_t_3;0.25297285884208365
tvla_rho;0.039809613256633236
dlla_open;0.4745561095697083
dlla_wegener;0.09134723560747399
tvla_t_1;0.026350779057250417
tvla_t_2;0.039329623986459214
tvla_t_3;0.1125039592692744
tvla_rho;0.022670498466153877
dlla_open;0.9393837943129457
dlla_wegener;0.5214060617374494
tvla_t_1;0.014588149113657932
tvla_t_2;0.004097289754049726
tvla_t_3;0.1832301071430634
tvla_rho;0.006899397673256535
dlla_open;0.23868174645129622
dlla_wegener;0.6046387199097054
tvla_t_1;0.01664507617030522
tvla_t_2;0.03204226891874345
tvla_t_3;0.20340339085055703
