method;pollution;param;kr;sr
sca_hw;gauss;3.6;37.07;0.12
sca_hw;gauss;3.7;50.97;0.07
sca_hw;gauss;3.8000000000000003;28.13;0.16
sca_hw;gauss;3.9000000000000004;33.07;0.12
sca_hw;gauss;4.0;33.09;0.1
sca_hw;gauss;4.1000000000000005;53.97;0.06
sca_hw;gauss;4.2;40.72;0.09
sca_hw;gauss;4.3;38.24;0.09
sca_hw;gauss;4.4;56.36;0.09
sca_hw;gauss;4.5;27.83;0.13
sca_hw;gauss;4.6000000000000005;38.49;0.09
sca_hw;gauss;4.7;58.55;0.06
sca_hw;gauss;4.800000000000001;53.94;0.07
sca_hw;gauss;4.9;60.74;0.05
sca_hw;gauss;5.0;57.55;0.01
sca_hw;desync;0.0;1.22;0.92
sca_hw;desync;0.05;2.23;0.74
sca_hw;desync;0.1;1.29;0.9
sca_hw;desync;0.15000000000000002;1.47;0.87
sca_hw;desync;0.2;1.47;0.85
sca_hw;desync;0.25;1.18;0.9
sca_hw;desync;0.30000000000000004;2.12;0.73
sca_hw;desync;0.35000000000000003;3.58;0.67
sca_hw;desync;0.4;6.97;0.45
sca_hw;desync;0.45;9.44;0.35
sca_hw;desync;0.5;17.06;0.19
sca_hw;desync;0.55;16.26;0.3
sca_hw;desync;0.6000000000000001;16.9;0.17
sca_hw;desync;0.65;18.06;0.21
sca_hw;desync;0.7000000000000001;21.67;0.24
sca_hw;desync;0.75;59.23;0.07
sca_hw;desync;0.8;94.48;0.01
sca_hw;desync;0.8500000000000001;59.01;0.04
sca_hw;desync;0.9;92.89;0.02
sca_hw;desync;0.9500000000000001;114.78;0.01
sca_hw;desync;1.0;125.46;0.01
sca_hw;desync;1.05;126.25;0.0
sca_hw;desync;1.1;119.47;0.0
sca_hw;desync;1.1500000000000001;120.09;0.01
sca_hw;desync;1.2000000000000002;118.94;0.0
sca_hw;desync;1.25;117.73;0.02
sca_hw;desync;1.3;111.45;0.02
sca_hw;desync;1.35;104.6;0.02
sca_hw;desync;1.4000000000000001;126.91;0.0
sca_hw;desync;1.4500000000000002;119.78;0.01
sca_hw;desync;1.5;110.66;0.01
sca_hw;desync;1.55;131.05;0.0
sca_hw;desync;1.6;124.94;0.01
sca_hw;desync;1.6500000000000001;118.63;0.0
sca_hw;desync;1.7000000000000002;130.48;0.01
sca_hw;desync;1.75;110.16;0.0
sca_hw;desync;1.8;120.02;0.01
sca_hw;desync;1.85;116.88;0.0
sca_hw;desync;1.9000000000000001;126.52;0.0
sca_hw;desync;1.9500000000000002;123.95;0.0
sca_hw;desync;2.0;118.95;0.01
sca_hw;gauss;0.0;1.14;0.92
sca_hw;gauss;0.1;2.61;0.7
sca_hw;gauss;0.2;1.36;0.85
sca_hw;gauss;0.30000000000000004;1.96;0.81
sca_hw;gauss;0.4;1.09;0.92
sca_hw;gauss;0.5;1.2;0.92
sca_hw;gauss;0.6000000000000001;1.92;0.73
sca_hw;gauss;0.7000000000000001;5.75;0.5
sca_hw;gauss;0.8;2.52;0.68
sca_hw;gauss;0.9;1.91;0.77
sca_hw;gauss;1.0;2.78;0.56
sca_hw;gauss;1.1;1.43;0.85
sca_hw;gauss;1.2000000000000002;1.95;0.75
sca_hw;gauss;1.3;6.45;0.49
sca_hw;gauss;1.4000000000000001;2.51;0.72
sca_hw;gauss;1.5;1.79;0.75
sca_hw;gauss;1.6;8.34;0.45
sca_hw;gauss;1.7000000000000002;7.61;0.41
sca_hw;gauss;1.8;6.44;0.42
sca_hw;gauss;1.9000000000000001;15.59;0.3
sca_hw;gauss;2.0;6.22;0.54
sca_hw;gauss;2.1;10.54;0.36
sca_hw;gauss;2.2;13.61;0.36
sca_hw;gauss;2.3000000000000003;4.95;0.45
sca_hw;gauss;2.4000000000000004;12.42;0.35
sca_hw;gauss;2.5;12.51;0.32
sca_hw;gauss;2.6;21.54;0.2
sca_hw;gauss;2.7;16.82;0.23
sca_hw;gauss;2.8000000000000003;6.84;0.35
sca_hw;gauss;2.9000000000000004;14.62;0.24
sca_hw;gauss;3.0;27.24;0.11
sca_hw;gauss;3.1;14.19;0.23
sca_hw;gauss;3.2;28.84;0.17
sca_hw;gauss;3.3000000000000003;24.69;0.18
sca_hw;gauss;3.4000000000000004;31.91;0.09
sca_hw;gauss;3.5;21.13;0.2
sca_hw;gauss;3.6;23.85;0.19
sca_hw;gauss;3.7;38.23;0.09
sca_hw;gauss;3.8000000000000003;50.1;0.07
sca_hw;gauss;3.9000000000000004;38.23;0.05
sca_hw;gauss;4.0;48.57;0.06
sca_hw;gauss;4.1000000000000005;37.73;0.07
sca_hw;gauss;4.2;50.43;0.1
sca_hw;gauss;4.3;46.68;0.1
sca_hw;gauss;4.4;59.56;0.03
sca_hw;gauss;4.5;59.77;0.06
sca_hw;gauss;4.6000000000000005;63.69;0.05
sca_hw;gauss;4.7;45.73;0.11
sca_hw;gauss;4.800000000000001;54.92;0.07
sca_hw;gauss;4.9;51.14;0.04
sca_hw;gauss;5.0;49.92;0.08
sca_hw;desync;0.0;1.07;0.95
sca_hw;desync;0.05;1.32;0.83
sca_hw;desync;0.1;1.15;0.93
sca_hw;desync;0.15000000000000002;1.47;0.82
sca_hw;desync;0.2;1.1;0.94
sca_hw;desync;0.25;1.25;0.94
sca_hw;desync;0.30000000000000004;3.88;0.64
sca_hw;desync;0.35000000000000003;2.21;0.71
sca_hw;desync;0.4;6.11;0.5
sca_hw;desync;0.45;7.09;0.5
sca_hw;desync;0.5;8.8;0.38
sca_hw;desync;0.55;16.02;0.28
sca_hw;desync;0.6000000000000001;6.32;0.51
sca_hw;desync;0.65;38.26;0.13
sca_hw;desync;0.7000000000000001;20.44;0.25
sca_hw;desync;0.75;117.6;0.0
sca_hw;desync;0.8;118.91;0.0
sca_hw;desync;0.8500000000000001;34.26;0.1
sca_hw;desync;0.9;96.12;0.01
sca_hw;desync;0.9500000000000001;119.44;0.0
sca_hw;desync;1.0;106.65;0.0
sca_hw;desync;1.05;118.59;0.01
sca_hw;desync;1.1;112.52;0.01
sca_hw;desync;1.1500000000000001;117.5;0.0
sca_hw;desync;1.2000000000000002;109.21;0.02
sca_hw;desync;1.25;113.8;0.01
sca_hw;desync;1.3;95.75;0.01
sca_hw;desync;1.35;110.07;0.0
sca_hw;desync;1.4000000000000001;123.6;0.0
sca_hw;desync;1.4500000000000002;117.79;0.0
sca_hw;desync;1.5;120.08;0.0
sca_hw;desync;1.55;111.48;0.01
sca_hw;desync;1.6;104.86;0.01
sca_hw;desync;1.6500000000000001;114.73;0.02
sca_hw;desync;1.7000000000000002;130.58;0.02
sca_hw;desync;1.75;112.34;0.01
sca_hw;desync;1.8;119.92;0.0
sca_hw;desync;1.85;121.48;0.0
sca_hw;desync;1.9000000000000001;109.98;0.0
sca_hw;desync;1.9500000000000002;120.11;0.01
sca_hw;desync;2.0;120.85;0.01
sca_hw;gauss;0.0;1.18;0.93
sca_hw;gauss;0.1;1.22;0.92
sca_hw;gauss;0.2;1.51;0.86
sca_hw;gauss;0.30000000000000004;1.23;0.89
sca_hw;gauss;0.4;1.87;0.76
sca_hw;gauss;0.5;1.21;0.89
sca_hw;gauss;0.6000000000000001;1.21;0.89
sca_hw;gauss;0.7000000000000001;1.57;0.84
sca_hw;gauss;0.8;1.86;0.72
sca_hw;gauss;0.9;2.07;0.75
sca_hw;gauss;1.0;3.61;0.67
sca_hw;gauss;1.1;4.1;0.62
sca_hw;gauss;1.2000000000000002;3.51;0.65
sca_hw;gauss;1.3;2.36;0.74
sca_hw;gauss;1.4000000000000001;3.88;0.53
sca_hw;gauss;1.5;5.72;0.58
sca_hw;gauss;1.6;4.8;0.51
sca_hw;gauss;1.7000000000000002;6.21;0.51
sca_hw;gauss;1.8;3.97;0.59
sca_hw;gauss;1.9000000000000001;5.23;0.61
sca_hw;gauss;2.0;5.64;0.62
sca_hw;gauss;2.1;8.36;0.34
sca_hw;gauss;2.2;7.3;0.34
sca_hw;gauss;2.3000000000000003;12.77;0.49
sca_hw;gauss;2.4000000000000004;14.76;0.34
sca_hw;gauss;2.5;9.49;0.39
sca_hw;gauss;2.6;13.14;0.39
sca_hw;gauss;2.7;13.28;0.37
sca_hw;gauss;2.8000000000000003;17.62;0.25
sca_hw;gauss;2.9000000000000004;22.02;0.22
sca_hw;gauss;3.0;11.28;0.29
sca_hw;gauss;3.1;24.43;0.15
sca_hw;gauss;3.2;17.37;0.26
sca_hw;gauss;3.3000000000000003;18.21;0.21
sca_hw;gauss;3.4000000000000004;23.5;0.17
sca_hw;gauss;3.5;32.14;0.16
sca_hw;gauss;3.6;42.94;0.1
sca_hw;gauss;3.7;32.44;0.07
sca_hw;gauss;3.8000000000000003;49.61;0.06
sca_hw;gauss;3.9000000000000004;47.0;0.1
sca_hw;gauss;4.0;44.83;0.09
sca_hw;gauss;4.1000000000000005;46.66;0.08
sca_hw;gauss;4.2;51.13;0.08
sca_hw;gauss;4.3;33.99;0.12
sca_hw;gauss;4.4;55.31;0.1
sca_hw;gauss;4.5;41.55;0.08
sca_hw;gauss;4.6000000000000005;62.52;0.04
sca_hw;gauss;4.7;49.73;0.1
sca_hw;gauss;4.800000000000001;89.0;0.02
sca_hw;gauss;4.9;55.45;0.03
sca_hw;gauss;5.0;62.3;0.06
sca_hw;desync;0.0;1.48;0.86
sca_hw;desync;0.05;1.43;0.82
sca_hw;desync;0.1;1.01;0.99
sca_hw;desync;0.15000000000000002;1.47;0.9
sca_hw;desync;0.2;1.46;0.8
sca_hw;desync;0.25;1.51;0.89
sca_hw;desync;0.30000000000000004;2.75;0.72
sca_hw;desync;0.35000000000000003;2.58;0.69
sca_hw;desync;0.4;3.41;0.58
sca_hw;desync;0.45;7.55;0.42
sca_hw;desync;0.5;7.9;0.4
sca_hw;desync;0.55;12.01;0.32
sca_hw;desync;0.6000000000000001;23.25;0.24
sca_hw;desync;0.65;17.41;0.22
sca_hw;desync;0.7000000000000001;43.88;0.06
sca_hw;desync;0.75;129.12;0.01
sca_hw;desync;0.8;19.68;0.28
sca_hw;desync;0.8500000000000001;36.87;0.1
sca_hw;desync;0.9;111.01;0.02
sca_hw;desync;0.9500000000000001;103.08;0.0
sca_hw;desync;1.0;119.38;0.0
sca_hw;desync;1.05;137.91;0.0
sca_hw;desync;1.1;122.04;0.02
sca_hw;desync;1.1500000000000001;127.78;0.0
sca_hw;desync;1.2000000000000002;121.85;0.0
sca_hw;desync;1.25;126.06;0.0
sca_hw;desync;1.3;119.9;0.01
sca_hw;desync;1.35;113.96;0.02
sca_hw;desync;1.4000000000000001;132.08;0.0
sca_hw;desync;1.4500000000000002;111.68;0.0
sca_hw;desync;1.5;130.44;0.0
sca_hw;desync;1.55;118.25;0.0
sca_hw;desync;1.6;127.09;0.0
sca_hw;desync;1.6500000000000001;120.48;0.02
sca_hw;desync;1.7000000000000002;138.44;0.0
sca_hw;desync;1.75;114.59;0.0
sca_hw;desync;1.8;123.87;0.01
sca_hw;desync;1.85;107.61;0.0
sca_hw;desync;1.9000000000000001;111.37;0.0
sca_hw;desync;1.9500000000000002;132.35;0.0
sca_hw;desync;2.0;116.07;0.0
sca_hw;gauss;0.0;1.1;0.93
sca_hw;gauss;0.1;1.75;0.86
sca_hw;gauss;0.2;1.54;0.83
