method;pollution;param;ge;sr
sca_hw;desync;100;1.0;1.0
sca_hw;desync;105;130.42;0.01
sca_hw;desync;110;38.28;0.12
sca_hw;desync;115;1.0;1.0
sca_hw;desync;120;104.12;0.02
sca_hw;desync;125;102.5;0.02
sca_hw;desync;130;124.51;0.01
sca_hw;desync;135;146.23;0.0
sca_hw;desync;140;128.99;0.02
sca_hw;desync;145;132.3;0.0
sca_hw;desync;150;128.21;0.0
sca_hw;desync;155;130.72;0.0
sca_hw;desync;160;113.67;0.0
sca_hw;desync;165;111.18;0.01
sca_hw;desync;170;132.51;0.0
sca_hw;desync;175;134.85;0.01
sca_hw;desync;180;137.37;0.0
sca_hw;desync;185;137.65;0.0
sca_hw;desync;190;119.23;0.0
sca_hw;desync;195;126.23;0.0
sca_hw;desync;200;134.81;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.05;0.98
sca_hw;gauss;40;1.0;1.0
sca_hw;gauss;42;1.0;1.0
